ID	position	person	department	year	team
8670	director of college scouting	jon spytek	front office	2011	Cleveland_Browns
8671	head coach	pat shurmur	head coaches	2011	Cleveland_Browns
8672	Quarterbacks	Mark Whipple	offensive coaches	2011	Cleveland_Browns
8673	Running Backs	Gary Brown	offensive coaches	2011	Cleveland_Browns
8674	Wide Receivers	Mike Wilson	offensive coaches	2011	Cleveland_Browns
8675	Tight Ends	Steve Hagen	offensive coaches	2011	Cleveland_Browns
8676	Offensive Line	George Warhop	offensive coaches	2011	Cleveland_Browns
8677	Senior Offensive Assistant	Keith Gilbertson	offensive coaches	2011	Cleveland_Browns
8678	Offensive Assistant	Chris Beake	offensive coaches	2011	Cleveland_Browns
8679	Defensive Coordinator	Dick Jauron	defensive coaches	2011	Cleveland_Browns
8680	Defensive Line	Dwaine Board	defensive coaches	2011	Cleveland_Browns
8681	Linebackers	Billy Davis	defensive coaches	2011	Cleveland_Browns
8682	Defensive Backs	Jerome Henderson	defensive coaches	2011	Cleveland_Browns
8683	Senior Defensive Assistant	Ray Rhodes	defensive coaches	2011	Cleveland_Browns
8684	defensive assistant	chuck bullough	defensive coaches	2011	Cleveland_Browns
8685	Special Teams Coordinator	Chris Tabor	strength and conditioning	2011	Cleveland_Browns
8686	special teams assistant	shawn mennenga	strength and conditioning	2011	Cleveland_Browns
8687	Strength and Conditioning	Kent Johnston	special teams coaches	2011	Cleveland_Browns
8688	Assistant Strength and Conditioning	Rick Lyle	special teams coaches	2011	Cleveland_Browns
8689	Chairman Emeritus	Daniel M. Rooney	front office	2011	Pittsburgh_Steelers
8690	President	Arthur J. Rooney II	front office	2011	Pittsburgh_Steelers
8691	Vice President	Arthur J. Rooney, Jr.	front office	2011	Pittsburgh_Steelers
8692	Administration Advisor	Chuck Noll	front office	2011	Pittsburgh_Steelers
8693	Administrative Assistant	Diane Lowe	front office	2011	Pittsburgh_Steelers
8694	Business Office	NA	front office	2011	Pittsburgh_Steelers
8695	Director of Business	Mark Hart	front office	2011	Pittsburgh_Steelers
8696	Controller	Bob Tyler	front office	2011	Pittsburgh_Steelers
8697	Director of Business & Administration	Omar Khan	front office	2011	Pittsburgh_Steelers
8698	Business Administration	Dan Ferens	front office	2011	Pittsburgh_Steelers
8699	Human Relations/Office Coordinator	Geraldine Glenn	front office	2011	Pittsburgh_Steelers
8700	Assistant Controller	Jodie Spagnolli	front office	2011	Pittsburgh_Steelers
8701	Administrative Assistant	Kelly Serafin	front office	2011	Pittsburgh_Steelers
8702	Administrative Assistant	Rebecca Mihalcik	front office	2011	Pittsburgh_Steelers
8703	Administrative Assistant	Colleen Kimmel	front office	2011	Pittsburgh_Steelers
8704	Media Relations	NA	front office	2011	Pittsburgh_Steelers
8705	Communications Coordinator	Burt Lauten	front office	2011	Pittsburgh_Steelers
8706	Public Relations/Media Manager	Nathan LoCascio	front office	2011	Pittsburgh_Steelers
8707	Administrative Assistant	Emily Scerba	front office	2011	Pittsburgh_Steelers
8708	Intern	Ryan Scarpino	front office	2011	Pittsburgh_Steelers
8709	Community Relations	NA	front office	2011	Pittsburgh_Steelers
8710	Community Relations Manager	Michele Rosenthal	front office	2011	Pittsburgh_Steelers
8711	Administrative Assistant	Stacie Lawrence	front office	2011	Pittsburgh_Steelers
8712	Information Technology	NA	front office	2011	Pittsburgh_Steelers
8713	Technology Manager	Scott Phelps	front office	2011	Pittsburgh_Steelers
8714	IT/Network Support Technician	Jon Pugliano	front office	2011	Pittsburgh_Steelers
8715	Steelers.com/Steelers Digest	NA	front office	2011	Pittsburgh_Steelers
8716	Editor	Bob Labriola	front office	2011	Pittsburgh_Steelers
8717	Assistant Editor/Website	Teresa Varley	front office	2011	Pittsburgh_Steelers
8718	Photography	NA	front office	2011	Pittsburgh_Steelers
8719	Team Photographer	Mike Fabus	front office	2011	Pittsburgh_Steelers
8720	Football Operations	NA	front office	2011	Pittsburgh_Steelers
8721	General Manager	Kevin Colbert	front office	2011	Pittsburgh_Steelers
8722	College Scouting Coordinator	Ron Hughes	front office	2011	Pittsburgh_Steelers
8723	Pro Personnel Coordinator	Brandon Hunt	front office	2011	Pittsburgh_Steelers
8724	Special Assistant/Pro and College Personnel	Joe Greene	front office	2011	Pittsburgh_Steelers
8725	Pro/College Scout	Phil Kreidler	front office	2011	Pittsburgh_Steelers
8726	College Scout	Kelvin Fisher	front office	2011	Pittsburgh_Steelers
8727	College Scout	Mark Gorscak	front office	2011	Pittsburgh_Steelers
8728	College Scout	Bruce McNorton	front office	2011	Pittsburgh_Steelers
8729	College Scout	Dan Rooney	front office	2011	Pittsburgh_Steelers
8730	College/Pro Scout	David Petett	front office	2011	Pittsburgh_Steelers
8731	BLESTO Scout	Mark Bruener	front office	2011	Pittsburgh_Steelers
8732	College Personnel	Bill Nunn	front office	2011	Pittsburgh_Steelers
8733	Administrative Assistant	Maureen Mannion	front office	2011	Pittsburgh_Steelers
8734	administrative assistant	karen mercalde	front office	2011	Pittsburgh_Steelers
8735	Head Coach	Mike Tomlin	head coaches	2011	Pittsburgh_Steelers
8736	assistant head coach/defensive line	john mitchell	head coaches	2011	Pittsburgh_Steelers
8737	Offensive Coordinator	Bruce Arians	offensive coaches	2011	Pittsburgh_Steelers
8738	Quarterbacks	Randy Fichtner	offensive coaches	2011	Pittsburgh_Steelers
8739	Running Backs	Kirby Wilson	offensive coaches	2011	Pittsburgh_Steelers
8740	Wide Receivers	Scottie Montgomery	offensive coaches	2011	Pittsburgh_Steelers
8741	Tight Ends	James Daniel	offensive coaches	2011	Pittsburgh_Steelers
8742	Offensive Line	Sean Kugler	offensive coaches	2011	Pittsburgh_Steelers
8743	Offensive Assistant	Harold Goodwin	offensive coaches	2011	Pittsburgh_Steelers
8744	Defensive Coordinator	Dick LeBeau	defensive coaches	2011	Pittsburgh_Steelers
8745	Linebackers	Keith Butler	defensive coaches	2011	Pittsburgh_Steelers
8746	Defensive Backs	Carnell Lake	defensive coaches	2011	Pittsburgh_Steelers
8747	defensive assistant	jerry olsavsky	defensive coaches	2011	Pittsburgh_Steelers
8748	Special Teams Coordinator– Al Everest	NA	strength and conditioning	2011	Pittsburgh_Steelers
8749	assistant special teams	amos jones	strength and conditioning	2011	Pittsburgh_Steelers
8750	Conditioning Coach	Garrett Giemont	special teams coaches	2011	Pittsburgh_Steelers
8751	Conditioning Assistant	Marcel Pastoor	special teams coaches	2011	Pittsburgh_Steelers
8752	Player Development	Raymond Jackson	special teams coaches	2011	Pittsburgh_Steelers
8753	Administrative Assistant	Chrissy Bulger	special teams coaches	2011	Pittsburgh_Steelers
8754	Administrative Assistant	Mia Daudet	special teams coaches	2011	Pittsburgh_Steelers
8755	Medical Staff	NA	special teams coaches	2011	Pittsburgh_Steelers
8756	Physician, Internal Medicine	Dr. Mark Duca	special teams coaches	2011	Pittsburgh_Steelers
8757	Physician, Internal Medicine	Dr. Tony Yates	special teams coaches	2011	Pittsburgh_Steelers
8758	Physician, NeuroSurgery	Dr. Joseph Maroon	special teams coaches	2011	Pittsburgh_Steelers
8759	Physician, Orthopedic Surgery	Dr. James P. Bradley	special teams coaches	2011	Pittsburgh_Steelers
8760	Athletic Training Staff	NA	special teams coaches	2011	Pittsburgh_Steelers
8761	Head Athletic Trainer	John Norwig	special teams coaches	2011	Pittsburgh_Steelers
8762	Assistant Athletic Trainer	Ryan Grove	special teams coaches	2011	Pittsburgh_Steelers
8763	Assistant Athletic Trainer	Sonia Gysland	special teams coaches	2011	Pittsburgh_Steelers
8764	Football Equipment Staff	NA	special teams coaches	2011	Pittsburgh_Steelers
8765	Equipment Manager - Rodgers Freyvogel	NA	special teams coaches	2011	Pittsburgh_Steelers
8766	Field Manager/Assistant Equipment Manager	Patrick Noone	special teams coaches	2011	Pittsburgh_Steelers
8767	Video	NA	special teams coaches	2011	Pittsburgh_Steelers
8768	Video Coordinator	Bob McCartney	special teams coaches	2011	Pittsburgh_Steelers
8769	Video Assistant	Andy Lizanich	special teams coaches	2011	Pittsburgh_Steelers
8770	Video Assistant	Jason McMann[1]	special teams coaches	2011	Pittsburgh_Steelers
8771	Chairman/CEO	Bob McNair	front office	2011	Houston_Texans
8772	Vice Chairman	Philip Burguières	front office	2011	Houston_Texans
8773	Vice Chairman	D. Cal McNair	front office	2011	Houston_Texans
8774	President	Jamey Rootes	front office	2011	Houston_Texans
8775	Executive Vice President/General Manager	Rick Smith	front office	2011	Houston_Texans
8776	Vice President of Football Administration	Chris Olsen	front office	2011	Houston_Texans
8777	Director of Pro Personnel	Brian Gardner	front office	2011	Houston_Texans
8778	Associate Director of Pro Personnel	Bobby Grier	front office	2011	Houston_Texans
8779	director of college scouting	mike maccagnan	front office	2011	Houston_Texans
8780	Head Coach	Gary Kubiak	head coaches	2011	Houston_Texans
8781	assistant head coach/defensive line	bill kollar	head coaches	2011	Houston_Texans
8782	Offensive Coordinator	Rick Dennison	offensive coaches	2011	Houston_Texans
8783	Quarterbacks	Greg Knapp	offensive coaches	2011	Houston_Texans
8784	Running Backs	Chick Harris	offensive coaches	2011	Houston_Texans
8785	Wide Receivers	Larry Kirksey	offensive coaches	2011	Houston_Texans
8786	Tight Ends	Brian Pariani	offensive coaches	2011	Houston_Texans
8787	Offensive Line	John Benton	offensive coaches	2011	Houston_Texans
8788	Assistant Offensive Line	Frank Pollack	offensive coaches	2011	Houston_Texans
8789	Offensive Assistant	Marc Lubick	offensive coaches	2011	Houston_Texans
8790	Offensive Assistant	Jim Ryan	offensive coaches	2011	Houston_Texans
8791	Defensive Coordinator	Wade Phillips	defensive coaches	2011	Houston_Texans
8792	Linebackers	Reggie Herring	defensive coaches	2011	Houston_Texans
8793	Secondary	Vance Joseph	defensive coaches	2011	Houston_Texans
8794	Assistant Defensive Backs	Perry Carter	defensive coaches	2011	Houston_Texans
8795	defensive assistant	bobby king	defensive coaches	2011	Houston_Texans
8796	special teams coordinator	joe marciano	strength and conditioning	2011	Houston_Texans
8797	Head Strength and Conditioning	Cedric Smith	special teams coaches	2011	Houston_Texans
8798	Assistant Strength and Conditioning	Matt Schiotz	special teams coaches	2011	Houston_Texans
8799	Owner/CEO	James Irsay	front office	2011	Indianapolis_Colts
8800	Vice Chairman	Bill Polian	front office	2011	Indianapolis_Colts
8801	Vice President/General Manager	Chris Polian	front office	2011	Indianapolis_Colts
8802	Director of Player Personnel	Tom Telesco	front office	2011	Indianapolis_Colts
8803	Director of Football Administration	Dennis Polian	front office	2011	Indianapolis_Colts
8804	associate director of pro personnel	kevin rogers	front office	2011	Indianapolis_Colts
8805	head coach	jim caldwell	head coaches	2011	Indianapolis_Colts
8806	Offensive Coordinator	Clyde Christensen	offensive coaches	2011	Indianapolis_Colts
8807	Quarterbacks	Ron Turner	offensive coaches	2011	Indianapolis_Colts
8808	Running Backs	David Walker	offensive coaches	2011	Indianapolis_Colts
8809	Wide Receivers	Frank Reich	offensive coaches	2011	Indianapolis_Colts
8810	Tight Ends	Ricky Thomas	offensive coaches	2011	Indianapolis_Colts
8811	Offensive Line	Pete Metzelaars	offensive coaches	2011	Indianapolis_Colts
8812	Assistant Offensive Line	Ron Prince	offensive coaches	2011	Indianapolis_Colts
8813	Assistant to the Offensive Coordinator	Jim Bob Cooter	offensive coaches	2011	Indianapolis_Colts
8814	Defensive Coordinator/Linebackers	Mike Murphy	defensive coaches	2011	Indianapolis_Colts
8815	Defensive Line	John Teerlinck	defensive coaches	2011	Indianapolis_Colts
8816	Defensive Backs	Alan Williams	defensive coaches	2011	Indianapolis_Colts
8817	Special Assistant to the Defense	Rod Perry	defensive coaches	2011	Indianapolis_Colts
8818	defensive assistant	bill teerlinck	defensive coaches	2011	Indianapolis_Colts
8819	special teams coordinator	ray rychleski	strength and conditioning	2011	Indianapolis_Colts
8820	Strength and Conditioning	Jon Torine	special teams coaches	2011	Indianapolis_Colts
8821	Assistant Strength and Conditioning	Richard HowellCoaching Assistants	special teams coaches	2011	Indianapolis_Colts
8822	Devin Fitzsimmons	NA	special teams coaches	2011	Indianapolis_Colts
8823	Chairman/CEO	Wayne Weaver	front office	2011	Jacksonville_Jaguars
8824	Senior Vice President of Football Operations/General Counsel	Paul Vance	front office	2011	Jacksonville_Jaguars
8825	General Manager/Senior Vice President of Player Personnel	Gene Smith	front office	2011	Jacksonville_Jaguars
8826	Director of Football Administration	Tim Walsh	front office	2011	Jacksonville_Jaguars
8827	Director of Player Personnel	Terry McDonough	front office	2011	Jacksonville_Jaguars
8828	Assistant Director of Pro Personnel	Louis Clark	front office	2011	Jacksonville_Jaguars
8829	assistant director of college personnel	tim mingey	front office	2011	Jacksonville_Jaguars
8830	interim head coach/defensive coordinator	mel tucker	head coaches	2011	Jacksonville_Jaguars
8831	Offensive Coordinator/Quarterbacks	Dirk Koetter	offensive coaches	2011	Jacksonville_Jaguars
8832	Running Backs	Earnest Byner	offensive coaches	2011	Jacksonville_Jaguars
8833	Wide Receivers	Mike Sheppard	offensive coaches	2011	Jacksonville_Jaguars
8834	Tight Ends	Rob Boras	offensive coaches	2011	Jacksonville_Jaguars
8835	Offensive Line	Andy Heck	offensive coaches	2011	Jacksonville_Jaguars
8836	Offensive Quality Control	Matt Griffin	offensive coaches	2011	Jacksonville_Jaguars
8837	Offensive Staff Assistant	Ron Heller	offensive coaches	2011	Jacksonville_Jaguars
8838	Defensive Line	Joe Cullen	defensive coaches	2011	Jacksonville_Jaguars
8839	Linebackers	Mark Duffner	defensive coaches	2011	Jacksonville_Jaguars
8840	Defensive Backs	Cory Undlin	defensive coaches	2011	Jacksonville_Jaguars
8841	Assistant Defensive Backs	Thom Kaumeyer	defensive coaches	2011	Jacksonville_Jaguars
8842	Defensive Quality Control	Brandon Blaney	defensive coaches	2011	Jacksonville_Jaguars
8843	defensive staff assistant	craig aukerman	defensive coaches	2011	Jacksonville_Jaguars
8844	Special Teams Coordinator	Russ Purnell	strength and conditioning	2011	Jacksonville_Jaguars
8845	assistant special teams	nate kaczor	strength and conditioning	2011	Jacksonville_Jaguars
8846	Strength and Conditioning	Luke Richesson	special teams coaches	2011	Jacksonville_Jaguars
8847	Assistant Strength and Conditioning	Jason George	special teams coaches	2011	Jacksonville_Jaguars
8848	Strength Staff Assistant	Mike Eubanks	special teams coaches	2011	Jacksonville_Jaguars
8849	Strength Staff Assistant	Anthony Lomando	special teams coaches	2011	Jacksonville_Jaguars
8850	Founder/Owner/Chairman/President/CEO	Bud Adams	front office	2011	Tennessee_Titans
8851	Executive Vice President/General Manager	Mike Reinfeldt	front office	2011	Tennessee_Titans
8852	Vice President of Player Personnel	Ruston Webster	front office	2011	Tennessee_Titans
8853	Vice President of Football Operations	Lake Dawson	front office	2011	Tennessee_Titans
8854	vice president of football administration	vincent marino	front office	2011	Tennessee_Titans
8855	head coach	mike munchak	head coaches	2011	Tennessee_Titans
8856	Offensive Coordinator	Chris Palmer	offensive coaches	2011	Tennessee_Titans
8857	Quarterbacks/Pass Game Coordinator	Dowell Loggains	offensive coaches	2011	Tennessee_Titans
8858	Running Backs	Jim Skipper	offensive coaches	2011	Tennessee_Titans
8859	Wide Receivers	Dave Ragone	offensive coaches	2011	Tennessee_Titans
8860	Tight Ends	John Zernhelt	offensive coaches	2011	Tennessee_Titans
8861	Offensive Line	Bruce Matthews	offensive coaches	2011	Tennessee_Titans
8862	Offensive Line Assistant	Art Valero	offensive coaches	2011	Tennessee_Titans
8863	Offensive Assistant/Quality Control	Charles London	offensive coaches	2011	Tennessee_Titans
8864	Defensive Coordinator	Jerry Gray	defensive coaches	2011	Tennessee_Titans
8865	Defensive Line	Tracy Rocker	defensive coaches	2011	Tennessee_Titans
8866	Linebackers	Frank Bush	defensive coaches	2011	Tennessee_Titans
8867	Secondary	Marcus Robertson	defensive coaches	2011	Tennessee_Titans
8868	Secondary Assistant	Curtis Fuller	defensive coaches	2011	Tennessee_Titans
8869	Senior Assistant	Dave McGinnis	defensive coaches	2011	Tennessee_Titans
8870	defensive assistant/quality control	arthur smith	defensive coaches	2011	Tennessee_Titans
8871	Special Teams	Alan Lowry	strength and conditioning	2011	Tennessee_Titans
8872	special teams assistant	chet parlavecchio coaches	strength and conditioning	2011	Tennessee_Titans
8873	Assistant Head Coach/Strength and Conditioning	Steve Watterson	special teams coaches	2011	Tennessee_Titans
8874	Founder/Owner/Chairman/President/CEO	Bud Adams	front office	2011	Houston_Oilers
8875	Executive Vice President/General Manager	Mike Reinfeldt	front office	2011	Houston_Oilers
8876	Vice President of Player Personnel	Ruston Webster	front office	2011	Houston_Oilers
8877	Vice President of Football Operations	Lake Dawson	front office	2011	Houston_Oilers
8878	vice president of football administration	vincent marino	front office	2011	Houston_Oilers
8879	head coach	mike munchak	head coaches	2011	Houston_Oilers
8880	Offensive Coordinator	Chris Palmer	offensive coaches	2011	Houston_Oilers
8881	Quarterbacks/Pass Game Coordinator	Dowell Loggains	offensive coaches	2011	Houston_Oilers
8882	Running Backs	Jim Skipper	offensive coaches	2011	Houston_Oilers
8883	Wide Receivers	Dave Ragone	offensive coaches	2011	Houston_Oilers
8884	Tight Ends	John Zernhelt	offensive coaches	2011	Houston_Oilers
8885	Offensive Line	Bruce Matthews	offensive coaches	2011	Houston_Oilers
8886	Offensive Line Assistant	Art Valero	offensive coaches	2011	Houston_Oilers
8887	Offensive Assistant/Quality Control	Charles London	offensive coaches	2011	Houston_Oilers
8888	Defensive Coordinator	Jerry Gray	defensive coaches	2011	Houston_Oilers
8889	Defensive Line	Tracy Rocker	defensive coaches	2011	Houston_Oilers
8890	Linebackers	Frank Bush	defensive coaches	2011	Houston_Oilers
8891	Secondary	Marcus Robertson	defensive coaches	2011	Houston_Oilers
8892	Secondary Assistant	Curtis Fuller	defensive coaches	2011	Houston_Oilers
8893	Senior Assistant	Dave McGinnis	defensive coaches	2011	Houston_Oilers
8894	defensive assistant/quality control	arthur smith	defensive coaches	2011	Houston_Oilers
8895	Special Teams	Alan Lowry	strength and conditioning	2011	Houston_Oilers
8896	special teams assistant	chet parlavecchio coaches	strength and conditioning	2011	Houston_Oilers
8897	Assistant Head Coach/Strength and Conditioning	Steve Watterson	special teams coaches	2011	Houston_Oilers
8898	Owner/Chairman/CEO	Pat Bowlen	front office	2011	Denver_Broncos
8899	President	Joe Ellis	front office	2011	Denver_Broncos
8900	Executive Vice President of Football Operations	John Elway	front office	2011	Denver_Broncos
8901	General Manager	Brian Xanders	front office	2011	Denver_Broncos
8902	Director of Football Administration	Mike Bluem	front office	2011	Denver_Broncos
8903	Director of College Scouting	Matt Russell	front office	2011	Denver_Broncos
8904	Director of Pro Personnel	Keith Kidd	front office	2011	Denver_Broncos
8905	Assistant Director of College Scouting	Lenny McGill	front office	2011	Denver_Broncos
8906	Assistant Director of Pro Personnel	Anthony Kelly	front office	2011	Denver_Broncos
8907	director of player development	jerry butler	front office	2011	Denver_Broncos
8908	head coach	john fox	head coaches	2011	Denver_Broncos
8909	Offensive Coordinator	Mike McCoy	offensive coaches	2011	Denver_Broncos
8910	Quarterbacks	Adam Gase	offensive coaches	2011	Denver_Broncos
8911	Running Backs	Eric Studesville	offensive coaches	2011	Denver_Broncos
8912	Wide Receivers	Tyke Tolbert	offensive coaches	2011	Denver_Broncos
8913	Tight Ends	Clancy Barone	offensive coaches	2011	Denver_Broncos
8914	Offensive Line	Dave Magazu	offensive coaches	2011	Denver_Broncos
8915	Offensive Quality Control	Brian Callahan	offensive coaches	2011	Denver_Broncos
8916	Defensive Coordinator	Dennis Allen	defensive coaches	2011	Denver_Broncos
8917	Defensive Line	Wayne Nunnely	defensive coaches	2011	Denver_Broncos
8918	Linebackers	Richard Smith	defensive coaches	2011	Denver_Broncos
8919	Defensive Backs	Ron Milus	defensive coaches	2011	Denver_Broncos
8920	Assistant Secondary	Sam Garnes	defensive coaches	2011	Denver_Broncos
8921	defensive quality control	jay rodgers	defensive coaches	2011	Denver_Broncos
8922	Special Teams Coordinator	Jeff Rodgers	strength and conditioning	2011	Denver_Broncos
8923	special teams	keith burns	strength and conditioning	2011	Denver_Broncos
8924	Strength and Conditioning	Rich Tuten	special teams coaches	2011	Denver_Broncos
8925	Strength and Conditioning Assistant	Greg Saporta	special teams coaches	2011	Denver_Broncos
8926	Strength and Conditioning Assistant	Justin Lovett	special teams coaches	2011	Denver_Broncos
8927	Chairman/CEO	Clark Hunt	front office	2011	Kansas_City_Chiefs
8928	President	Mark Donovan	front office	2011	Kansas_City_Chiefs
8929	General Manager	Scott Pioli	front office	2011	Kansas_City_Chiefs
8930	Assistant General Manager	Joel Collier	front office	2011	Kansas_City_Chiefs
8931	Director of Pro Personnel	Ray Farmer	front office	2011	Kansas_City_Chiefs
8932	Director of College Scouting	Phil Emery	front office	2011	Kansas_City_Chiefs
8933	director of football administration	trip maccracken	front office	2011	Kansas_City_Chiefs
8934	Head Coach	Todd Haley (fired Dec 12, 2011)	head coaches	2011	Kansas_City_Chiefs
8935	Interim Head Coach	Romeo Crennel	head coaches	2011	Kansas_City_Chiefs
8936	assistant head coach	maurice carthon	head coaches	2011	Kansas_City_Chiefs
8937	Offensive Coordinator/Offensive Line	Bill Muir	offensive coaches	2011	Kansas_City_Chiefs
8938	Quarterbacks	Jim Zorn	offensive coaches	2011	Kansas_City_Chiefs
8939	Wide Receivers	Richie Anderson	offensive coaches	2011	Kansas_City_Chiefs
8940	Tight Ends	Bernie Parmalee	offensive coaches	2011	Kansas_City_Chiefs
8941	Assistant Offensive Line	Pat Perles	offensive coaches	2011	Kansas_City_Chiefs
8942	Offensive Quality Control	Nick Sirianni	offensive coaches	2011	Kansas_City_Chiefs
8943	Defensive Coordinator	Romeo Crennel	defensive coaches	2011	Kansas_City_Chiefs
8944	Defensive Line	Anthony Pleasant	defensive coaches	2011	Kansas_City_Chiefs
8945	Linebackers	Gary Gibbs	defensive coaches	2011	Kansas_City_Chiefs
8946	Defensive Backs	Emmitt Thomas	defensive coaches	2011	Kansas_City_Chiefs
8947	Defensive Assistant/Assistant Linebackers	Adam Zimmer	defensive coaches	2011	Kansas_City_Chiefs
8948	Defensive Quality Control	Otis Smith	defensive coaches	2011	Kansas_City_Chiefs
8949	pass rush	joe kim	defensive coaches	2011	Kansas_City_Chiefs
8950	special teams	steve hoffman	strength and conditioning	2011	Kansas_City_Chiefs
8951	Strength and Conditioning	Mike Clark	special teams coaches	2011	Kansas_City_Chiefs
8952	Assistant Strength and Conditioning	Brent Salazar	special teams coaches	2011	Kansas_City_Chiefs
8953	Chairman/CEO	Clark Hunt	front office	2011	Los_Angeles_Chargers
8954	President	Mark Donovan	front office	2011	Los_Angeles_Chargers
8955	General Manager	Scott Pioli	front office	2011	Los_Angeles_Chargers
8956	Assistant General Manager	Joel Collier	front office	2011	Los_Angeles_Chargers
8957	Director of Pro Personnel	Ray Farmer	front office	2011	Los_Angeles_Chargers
8958	Director of College Scouting	Phil Emery	front office	2011	Los_Angeles_Chargers
8959	director of football administration	trip maccracken	front office	2011	Los_Angeles_Chargers
8960	Head Coach	Todd Haley (fired Dec 12, 2011)	head coaches	2011	Los_Angeles_Chargers
8961	Interim Head Coach	Romeo Crennel	head coaches	2011	Los_Angeles_Chargers
8962	assistant head coach	maurice carthon	head coaches	2011	Los_Angeles_Chargers
8963	Offensive Coordinator/Offensive Line	Bill Muir	offensive coaches	2011	Los_Angeles_Chargers
8964	Quarterbacks	Jim Zorn	offensive coaches	2011	Los_Angeles_Chargers
8965	Wide Receivers	Richie Anderson	offensive coaches	2011	Los_Angeles_Chargers
8966	Tight Ends	Bernie Parmalee	offensive coaches	2011	Los_Angeles_Chargers
8967	Assistant Offensive Line	Pat Perles	offensive coaches	2011	Los_Angeles_Chargers
8968	Offensive Quality Control	Nick Sirianni	offensive coaches	2011	Los_Angeles_Chargers
8969	Defensive Coordinator	Romeo Crennel	defensive coaches	2011	Los_Angeles_Chargers
8970	Defensive Line	Anthony Pleasant	defensive coaches	2011	Los_Angeles_Chargers
20931	Linebackers	Ted Cottrell	strength and conditioning	1994	Arizona_Cardinals
20932	defensive backs	rob ryan	strength and conditioning	1994	Arizona_Cardinals
20933	special teams	al roberts	defensive coaches	1994	Arizona_Cardinals
20934	Strength and Conditioning	Bob Rogucki	special teams coaches	1994	Arizona_Cardinals
20935	Owner/President	Georgia Frontiere	front office	1994	Los_Angeles_Rams
20936	Executive Vice President	John Shaw	front office	1994	Los_Angeles_Rams
20937	Senior Vice President	Jay Zygmunt	front office	1994	Los_Angeles_Rams
20938	Administrator of Football Operations	Jack Faulkner	front office	1994	Los_Angeles_Rams
20939	director of player personnel	john becker	front office	1994	Los_Angeles_Rams
20940	Vice President/Head Coach	Chuck Knox	head coaches	1994	Los_Angeles_Rams
20941	assistant head coach/safeties	joe vitt	head coaches	1994	Los_Angeles_Rams
20942	Offensive Coordinator/Running Backs	Chick Harris	offensive coaches	1994	Los_Angeles_Rams
20943	Quarterbacks	Mike Martz	offensive coaches	1994	Los_Angeles_Rams
20944	Wide Receivers	Steve Moore	offensive coaches	1994	Los_Angeles_Rams
20945	Tight Ends	Rennie Simmons	offensive coaches	1994	Los_Angeles_Rams
20946	Offensive Line	Jim Erkenbeck	offensive coaches	1994	Los_Angeles_Rams
20947	Offensive Assistant	Chuck Knox Jr.	offensive coaches	1994	Los_Angeles_Rams
20948	Defensive Coordinator/Defensive Line	George Dyer	strength and conditioning	1994	Los_Angeles_Rams
20949	Linebackers	Dick Selcer	strength and conditioning	1994	Los_Angeles_Rams
20950	Defensive Backs	Rod Perry	strength and conditioning	1994	Los_Angeles_Rams
20951	defensive assistant	greg gaines	strength and conditioning	1994	Los_Angeles_Rams
20952	special teams	wayne sevier	defensive coaches	1994	Los_Angeles_Rams
20953	Strength and Conditioning	Chris Clausen	special teams coaches	1994	Los_Angeles_Rams
20954	Owner	Edward J. DeBartolo, Jr.	front office	1994	San_Francisco_49ers
20955	President	Carmen Policy	front office	1994	San_Francisco_49ers
20956	Vice President of Football Administration	John McVay	front office	1994	San_Francisco_49ers
20957	Coordinator of Football Operations and Player Personnel	Dwight Clark	front office	1994	San_Francisco_49ers
20958	Director of Pro Personnel	Allan Webb	front office	1994	San_Francisco_49ers
20959	Director of College Scouting	Vinny Cerrato	front office	1994	San_Francisco_49ers
20960	coaching administrator and financial liaison	neal dahlen	front office	1994	San_Francisco_49ers
20961	Head Coach	George Seifert	head coaches	1994	San_Francisco_49ers
20962	assistant head coach	bill mcpherson	head coaches	1994	San_Francisco_49ers
20963	Offensive Coordinator	Mike Shanahan	offensive coaches	1994	San_Francisco_49ers
20964	Quarterbacks	Gary Kubiak	offensive coaches	1994	San_Francisco_49ers
20965	Running Backs	Carl Jackson	offensive coaches	1994	San_Francisco_49ers
20966	Receivers	Larry Kirksey	offensive coaches	1994	San_Francisco_49ers
20967	Tight Ends/Assistant Offensive Line	Mike Solari	offensive coaches	1994	San_Francisco_49ers
20968	Offensive Line	Bobb McKittrick	offensive coaches	1994	San_Francisco_49ers
20969	Offensive Coaches Assistant	Brian Pariani	offensive coaches	1994	San_Francisco_49ers
20970	Defensive Coordinator	Ray Rhodes	strength and conditioning	1994	San_Francisco_49ers
20971	Defensive Line	Dwaine Board	strength and conditioning	1994	San_Francisco_49ers
20972	Linebackers	John Marshall	strength and conditioning	1994	San_Francisco_49ers
20973	defensive backs	tom holmoe	strength and conditioning	1994	San_Francisco_49ers
20974	special teams	alan lowry	defensive coaches	1994	San_Francisco_49ers
20975	Physical Development Coordinator	Jerry Attaway	special teams coaches	1994	San_Francisco_49ers
20976	Assistant Strength and Conditioning	Michael Barnes	special teams coaches	1994	San_Francisco_49ers
20977	Owner	Ken Behring	front office	1994	Seattle_Seahawks
20978	President	David Behring	front office	1994	Seattle_Seahawks
20979	Executive Vice President	Mickey Loomis	front office	1994	Seattle_Seahawks
